"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2005",,"M"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2010",,"M"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2011",,"M"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2012",,"M"
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",62.342,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2014",69.361,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2015",68.371,
"AUS","ENROLMENT_ECE","AGE_3","PC_AGE","A","2016",63.336,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2005",,"M"
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2010",,"M"
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2011",,"M"
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2012",,"M"
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2013",79.894,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2014",83.453,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2015",88.523,
"AUS","ENROLMENT_ECE","AGE_4","PC_AGE","A","2016",88.78,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2005",,"M"
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2010",,"M"
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2011",,"M"
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2012",,"M"
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2013",16.155,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2014",18.015,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2015",18.812,
"AUS","ENROLMENT_ECE","AGE_5","PC_AGE","A","2016",20.343,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2005",,"M"
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2010",68.74,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2011",68.719,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2012",70.075,
"AUT","ENROLMENT_ECE","AGE_3","PC_AGE","A","2013",71.35,
