"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2005",85.258,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2010",86.556,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2011",89.122,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2012",88.657,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2013",89.572,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2014",90.735,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2015",97.193,
"AUS","ENROLMENT","AGE_17","PC_AGE","A","2016",97.468,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2005",69.028,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2010",69.211,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2011",73.537,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2012",75.115,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2013",74.203,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2014",74.709,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2015",82.388,
"AUS","ENROLMENT","AGE_18","PC_AGE","A","2016",80.624,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2005",63.432,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2010",66.025,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2011",68.98,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2012",70.872,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2013",70.189,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2014",70.299,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2015",78,
"AUS","ENROLMENT","AGE_19","PC_AGE","A","2016",76.628,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2005",,"M"
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2010",87.406,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2011",87.939,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2012",88.417,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2013",88.599,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2014",89.16,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2015",89.204,
"AUT","ENROLMENT","AGE_17","PC_AGE","A","2016",86.831,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2005",,"M"
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2010",72.151,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2011",72.382,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2012",73.533,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2013",74.026,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2014",74.123,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2015",74.637,
"AUT","ENROLMENT","AGE_18","PC_AGE","A","2016",72.917,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2005",,"M"
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2010",49.569,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2011",49.747,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2012",50.855,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2013",51.187,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2014",51.637,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2015",52.294,
"AUT","ENROLMENT","AGE_19","PC_AGE","A","2016",51.687,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2005",100,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2010",98.31,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2011",98.973,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2012",99.391,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2013",98.596,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2014",97.374,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2015",96.959,
"BEL","ENROLMENT","AGE_17","PC_AGE","A","2016",96.971,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2005",89.392,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2010",81.454,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2011",88.658,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2012",88.918,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2013",83.583,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2014",89.289,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2015",88.084,
"BEL","ENROLMENT","AGE_18","PC_AGE","A","2016",90.104,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2005",77.585,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2010",82.785,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2011",78.021,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2012",77.943,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2013",79.803,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2014",79.843,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2015",79.321,
"BEL","ENROLMENT","AGE_19","PC_AGE","A","2016",81.844,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2005",,"M"
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2010",,"M"
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2011",,"M"
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2012",79.779,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2013",80.776,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2014",81.436,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2015",82.86,
"CAN","ENROLMENT","AGE_17","PC_AGE","A","2016",85.998,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2005",,"M"
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2010",,"M"
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2011",,"M"
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2012",56.194,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2013",56.753,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2014",57.641,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2015",57.067,
"CAN","ENROLMENT","AGE_18","PC_AGE","A","2016",58.667,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2005",,"M"
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2010",,"M"
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2011",,"M"
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2012",49.54,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2013",49.488,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2014",50.497,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2015",49.96,
"CAN","ENROLMENT","AGE_19","PC_AGE","A","2016",51.67,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2005",,"M"
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2010",,"M"
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2011",,"M"
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2012",,"M"
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2013",95.564,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2014",95.664,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2015",95.603,
"CZE","ENROLMENT","AGE_17","PC_AGE","A","2016",95.524,
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2005",,"M"
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2010",,"M"
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2011",,"M"
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2012",,"M"
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2013",89.515,
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2014",89.808,
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2015",89.404,
"CZE","ENROLMENT","AGE_18","PC_AGE","A","2016",89.447,
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2005",,"M"
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2010",,"M"
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2011",,"M"
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2012",,"M"
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2013",72.464,
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2014",72.725,
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2015",73.042,
"CZE","ENROLMENT","AGE_19","PC_AGE","A","2016",72.102,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2005",,"M"
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2010",85.726,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2011",88.662,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2012",89.931,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2013",90.923,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2014",90.845,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2015",90.792,
"DNK","ENROLMENT","AGE_17","PC_AGE","A","2016",90.685,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2005",,"M"
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2010",82.492,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2011",84.839,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2012",86.107,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2013",86.932,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2014",86.772,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2015",86.765,
"DNK","ENROLMENT","AGE_18","PC_AGE","A","2016",85.67,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2005",,"M"
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2010",62.729,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2011",65.075,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2012",65.614,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2013",66.042,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2014",65.148,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2015",64.804,
"DNK","ENROLMENT","AGE_19","PC_AGE","A","2016",63.23,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2005",95.373,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2010",95.131,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2011",94.801,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2012",94.321,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2013",94.775,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2014",94.596,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2015",95.706,
"FIN","ENROLMENT","AGE_17","PC_AGE","A","2016",96.096,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2005",93.61,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2010",93.58,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2011",93.844,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2012",93.669,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2013",94.143,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2014",94.409,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2015",95.448,
"FIN","ENROLMENT","AGE_18","PC_AGE","A","2016",95.958,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2005",53.062,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2010",51.654,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2011",51.712,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2012",50.678,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2013",50.727,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2014",52.152,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2015",51.68,
"FIN","ENROLMENT","AGE_19","PC_AGE","A","2016",50.188,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2005",89.813,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2010",88.351,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2011",88.907,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2012",90.295,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2013",90.575,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2014",91.139,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2015",91.593,
"FRA","ENROLMENT","AGE_17","PC_AGE","A","2016",91.485,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2005",77.384,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2010",76.928,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2011",76.642,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2012",78.315,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2013",76.954,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2014",77.599,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2015",77.221,
"FRA","ENROLMENT","AGE_18","PC_AGE","A","2016",77.786,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2005",64.301,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2010",63.862,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2011",64.942,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2012",64.571,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2013",63.571,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2014",64.006,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2015",63.639,
"FRA","ENROLMENT","AGE_19","PC_AGE","A","2016",64.28,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2005",91.328,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2010",93.458,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2011",98.03,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2012",96.827,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2013",93.94,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2014",94.129,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2015",93.282,
"DEU","ENROLMENT","AGE_17","PC_AGE","A","2016",91.997,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2005",84.932,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2010",86.985,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2011",91.937,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2012",86.488,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2013",85.659,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2014",84.701,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2015",82.858,
"DEU","ENROLMENT","AGE_18","PC_AGE","A","2016",79.481,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2005",70.417,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2010",71.326,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2011",75.795,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2012",66.649,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2013",73.957,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2014",71.683,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2015",70.209,
"DEU","ENROLMENT","AGE_19","PC_AGE","A","2016",68.607,
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2005",,"M"
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2010",,"M"
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2011",,"M"
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2012",,"M"
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2013",,"M"
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2014",94.045,
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2015",97.884,
"GRC","ENROLMENT","AGE_17","PC_AGE","A","2016",93.907,
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2005",,"M"
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2010",,"M"
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2011",,"M"
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2012",,"M"
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2013",,"M"
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2014",66.302,
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2015",75.223,
"GRC","ENROLMENT","AGE_18","PC_AGE","A","2016",64.395,
"GRC","ENROLMENT","AGE_19","PC_AGE","A","2005",,"M"
"GRC","ENROLMENT","AGE_19","PC_AGE","A","2010",,"M"
"GRC","ENROLMENT","AGE_19","PC_AGE","A","2011",,"M"
"GRC","ENROLMENT","AGE_19","PC_AGE","A","2012",,"M"
"GRC","ENROLMENT","AGE_19","PC_AGE","A","2013",,"M"
"GRC","ENROLMENT","AGE_19","PC_AGE","A","2014",68.343,
