"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",17.97,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",18.309,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",15.469,
"AUS","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",17.487,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",16.759,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",15.47,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",15.891,
"AUT","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",16.349,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.979,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",11.195,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",11.19,
"BEL","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",12.022,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.723,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.508,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.973,
"CAN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",11.892,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.391,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.83,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.547,
"CZE","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",11.51,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",10.125,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.935,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",10.283,
"DNK","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",10.811,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",7.074,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",7.435,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.651,
"FIN","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",7.806,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",9.779,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",9.842,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",9.876,
"FRA","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",9.892,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",7.073,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",7.23,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",7.682,
"DEU","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2016",8.037,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2013",,"M"
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2014",4.194,
"GRC","STUMOBILITY","TRY_INFLOW","PC_STUD_ENRL","A","2015",3.205,
