"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","STUDENT","TRY","IDX2010","A","1995",,"M"
"AUS","STUDENT","TRY","IDX2010","A","2000",66.977,
"AUS","STUDENT","TRY","IDX2010","A","2005",79.778,
"AUS","STUDENT","TRY","IDX2010","A","2008",86.263,
"AUS","STUDENT","TRY","IDX2010","A","2009",93.193,
"AUS","STUDENT","TRY","IDX2010","A","2010",100,
"AUS","STUDENT","TRY","IDX2010","A","2011",103.243,
"AUS","STUDENT","TRY","IDX2010","A","2012",105.975,
"AUS","STUDENT","TRY","IDX2010","A","2013",107.915,
"AUS","STUDENT","TRY","IDX2010","A","2014",113.178,
"AUS","STUDENT","TRY","IDX2010","A","2015",119.865,
"AUS","STUDENT","TRY","IDX2010","A","2016",,"M"
"AUS","STUDENT","PRY_NTRY","IDX2010","A","1995",,"M"
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2000",91.887,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2005",98.874,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2008",98.449,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2009",98.621,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2010",100,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2011",102.298,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2012",104.986,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2013",106.313,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2014",107.89,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2015",103.404,
"AUS","STUDENT","PRY_NTRY","IDX2010","A","2016",,"M"
"AUT","STUDENT","TRY","IDX2010","A","1995",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2000",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2005",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2008",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2009",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2010",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2011",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2012",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2013",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2014",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2015",,"M"
"AUT","STUDENT","TRY","IDX2010","A","2016",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","1995",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2000",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2005",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2008",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2009",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2010",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2011",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2012",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2013",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2014",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2015",,"M"
"AUT","STUDENT","PRY_NTRY","IDX2010","A","2016",,"M"
"BEL","STUDENT","TRY","IDX2010","A","1995",,"M"
"BEL","STUDENT","TRY","IDX2010","A","2000",,"M"
"BEL","STUDENT","TRY","IDX2010","A","2005",89.776,
"BEL","STUDENT","TRY","IDX2010","A","2008",91.833,
"BEL","STUDENT","TRY","IDX2010","A","2009",95.59,
"BEL","STUDENT","TRY","IDX2010","A","2010",100,
"BEL","STUDENT","TRY","IDX2010","A","2011",103.492,
"BEL","STUDENT","TRY","IDX2010","A","2012",106.829,
"BEL","STUDENT","TRY","IDX2010","A","2013",109.172,
"BEL","STUDENT","TRY","IDX2010","A","2014",111.657,
"BEL","STUDENT","TRY","IDX2010","A","2015",112.577,
"BEL","STUDENT","TRY","IDX2010","A","2016",,"M"
"BEL","STUDENT","PRY_NTRY","IDX2010","A","1995",,"M"
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2000",,"M"
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2005",104.76,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2008",100.714,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2009",100.252,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2010",100,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2011",100.39,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2012",101.059,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2013",101.162,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2014",101.966,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2015",102.982,
"BEL","STUDENT","PRY_NTRY","IDX2010","A","2016",,"M"
"CAN","STUDENT","TRY","IDX2010","A","1995",,"M"
"CAN","STUDENT","TRY","IDX2010","A","2000",,"M"
"CAN","STUDENT","TRY","IDX2010","A","2005",,"M"
