"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","1995",,"M"
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2000",0.191,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2005",0.184,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2008",0.193,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2009",0.196,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2010",0.201,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2011",0.204,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.214,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.221,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.225,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.225,
"AUS","EDUPRIVEXP","PRY","PC_GDP","A","2016",,"M"
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","1995",,"M"
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.75,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.832,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.847,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.886,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.9,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.888,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.883,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.975,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.135,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2015",1.265,
"AUS","EDUPRIVEXP","TRY","PC_GDP","A","2016",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","1995",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2000",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2005",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2008",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2009",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2010",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2011",,"M"
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.029,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.031,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.036,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.039,
"AUT","EDUPRIVEXP","PRY","PC_GDP","A","2016",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","1995",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2000",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2005",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2008",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2009",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2010",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2011",,"M"
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.085,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.094,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.095,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.109,
"AUT","EDUPRIVEXP","TRY","PC_GDP","A","2016",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","1995",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2000",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2005",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2008",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2009",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2010",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2011",,"M"
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.045,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.048,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.054,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.046,
"BEL","EDUPRIVEXP","PRY","PC_GDP","A","2016",,"M"
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","1995",,"M"
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2000",,"M"
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.11,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.124,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.137,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.135,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.133,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.137,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.146,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.168,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.209,
"BEL","EDUPRIVEXP","TRY","PC_GDP","A","2016",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","1995",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2000",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2005",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2008",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2009",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2010",,"M"
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2011",0.188,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.168,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.192,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.19,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.197,
"CAN","EDUPRIVEXP","PRY","PC_GDP","A","2016",,"M"
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","1995",,"M"
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.881,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2005",1.033,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.881,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2009",1.169,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2010",1.107,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2011",1.113,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2012",1.181,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2013",1.262,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2014",1.284,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2015",1.239,
"CAN","EDUPRIVEXP","TRY","PC_GDP","A","2016",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","1995",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2000",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2005",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2008",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2009",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2010",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2011",,"M"
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.056,
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2013",0.057,
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2014",0.054,
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2015",0.052,
"CZE","EDUPRIVEXP","PRY","PC_GDP","A","2016",,"M"
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","1995",,"M"
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2000",0.108,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2005",0.178,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2008",0.223,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2009",0.237,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2010",0.24,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2011",0.254,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2012",0.256,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2013",0.257,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2014",0.245,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2015",0.23,
"CZE","EDUPRIVEXP","TRY","PC_GDP","A","2016",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","1995",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2000",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2005",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2008",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2009",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2010",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2011",,"M"
"DNK","EDUPRIVEXP","PRY","PC_GDP","A","2012",0.046,
