"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2012",40.025,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2013",42.236,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2014",47.647,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2015",49.861,
"AUS","EDUEXPTRY","HH","PC_EDUEXP","A","2016",,"M"
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",15.035,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",15.273,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",13.593,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",12.319,
"AUS","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",,"M"
"AUS","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",10.1,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2012",2.075,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2013",2.584,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2014",2.925,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2015",3.086,
"AUT","EDUEXPTRY","HH","PC_EDUEXP","A","2016",,"M"
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",2.781,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",2.81,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",2.644,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",3.146,
"AUT","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",,"M"
"AUT","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",9.4,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2012",4.775,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2013",4.702,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2014",5.824,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2015",8.575,
"BEL","EDUEXPTRY","HH","PC_EDUEXP","A","2016",,"M"
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",5.025,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",5.37,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",5.618,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",5.631,
"BEL","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",,"M"
"BEL","EDUEXPTRY","SUBS","PC_EDUEXP","A","2012",15.7,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2012",24.329,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2013",25.591,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2014",26.167,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2015",28.482,
"CAN","EDUEXPTRY","HH","PC_EDUEXP","A","2016",,"M"
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",23.209,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",24.713,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",25.232,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",22.133,
"CAN","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",,"M"
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2012",7.276,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2013",7.892,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2014",8.152,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2015",8.147,
"CZE","EDUEXPTRY","HH","PC_EDUEXP","A","2016",,"M"
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",10.523,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",11.421,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",11.791,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",11.763,
"CZE","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",,"M"
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2012",10.426,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2013",10.645,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2014",11.54,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2015",10.706,
"FRA","EDUEXPTRY","HH","PC_EDUEXP","A","2016",,"M"
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2012",9.405,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2013",10.132,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2014",9.443,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2015",9.594,
"FRA","EDUEXPTRY","OTHPRIVENT","PC_EDUEXP","A","2016",,"M"
