"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHER","PRY_30_49","PC","A","2005",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2010",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2011",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2012",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2013",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2014",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2015",,"M"
"AUS","TEACHER","PRY_30_49","PC","A","2016",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2005",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2010",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2011",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2012",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2013",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2014",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2015",,"M"
"AUS","TEACHER","PRY_50_OVER","PC","A","2016",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2005",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2010",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2011",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2012",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2013",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2014",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2015",,"M"
"AUS","TEACHER","PRY_LT30","PC","A","2016",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2005",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2010",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2011",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2012",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2013",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2014",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2015",,"M"
"AUS","TEACHER","SRY_30_49","PC","A","2016",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2005",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2010",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2011",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2012",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2013",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2014",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2015",,"M"
"AUS","TEACHER","SRY_50_OVER","PC","A","2016",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2005",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2010",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2011",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2012",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2013",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2014",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2015",,"M"
"AUS","TEACHER","SRY_LT30","PC","A","2016",,"M"
"AUS","TEACHER","TRY_30_49","PC","A","2005",55.786,
"AUS","TEACHER","TRY_30_49","PC","A","2010",55.005,
"AUS","TEACHER","TRY_30_49","PC","A","2011",54.898,
"AUS","TEACHER","TRY_30_49","PC","A","2012",54.199,
"AUS","TEACHER","TRY_30_49","PC","A","2013",54.351,
"AUS","TEACHER","TRY_30_49","PC","A","2014",,"M"
"AUS","TEACHER","TRY_30_49","PC","A","2015",,"M"
"AUS","TEACHER","TRY_30_49","PC","A","2016",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2005",38.377,
"AUS","TEACHER","TRY_50_OVER","PC","A","2010",36.309,
"AUS","TEACHER","TRY_50_OVER","PC","A","2011",36.994,
"AUS","TEACHER","TRY_50_OVER","PC","A","2012",40.129,
"AUS","TEACHER","TRY_50_OVER","PC","A","2013",40.145,
"AUS","TEACHER","TRY_50_OVER","PC","A","2014",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2015",,"M"
"AUS","TEACHER","TRY_50_OVER","PC","A","2016",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2005",5.837,
"AUS","TEACHER","TRY_LT30","PC","A","2010",8.686,
"AUS","TEACHER","TRY_LT30","PC","A","2011",8.109,
"AUS","TEACHER","TRY_LT30","PC","A","2012",5.672,
"AUS","TEACHER","TRY_LT30","PC","A","2013",5.504,
"AUS","TEACHER","TRY_LT30","PC","A","2014",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2015",,"M"
"AUS","TEACHER","TRY_LT30","PC","A","2016",,"M"
"AUT","TEACHER","PRY_30_49","PC","A","2005",,"M"
"AUT","TEACHER","PRY_30_49","PC","A","2010",53.542,
"AUT","TEACHER","PRY_30_49","PC","A","2011",52.635,
"AUT","TEACHER","PRY_30_49","PC","A","2012",52.089,
"AUT","TEACHER","PRY_30_49","PC","A","2013",51.104,
"AUT","TEACHER","PRY_30_49","PC","A","2014",50.2,
"AUT","TEACHER","PRY_30_49","PC","A","2015",48.548,
"AUT","TEACHER","PRY_30_49","PC","A","2016",46.72,
