"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHERSALARY","PRY15YREXP","USD","A","2017",59568.04285,
"AUS","TEACHERSALARY","PRY_START","USD","A","2017",41798.38696,
"AUS","TEACHERSALARY","PRY_TOP","USD","A","2017",59568.04285,
"AUT","TEACHERSALARY","PRY15YREXP","USD","A","2017",49961.12753,
"AUT","TEACHERSALARY","PRY_START","USD","A","2017",40548.15491,
"AUT","TEACHERSALARY","PRY_TOP","USD","A","2017",73501.36247,
"CAN","TEACHERSALARY","PRY15YREXP","USD","A","2017",65473.84188,
"CAN","TEACHERSALARY","PRY_START","USD","A","2017",39221.95164,
"CAN","TEACHERSALARY","PRY_TOP","USD","A","2017",65473.84188,
"CZE","TEACHERSALARY","PRY15YREXP","USD","A","2017",21006.54175,
"CZE","TEACHERSALARY","PRY_START","USD","A","2017",18943.86437,
"CZE","TEACHERSALARY","PRY_TOP","USD","A","2017",24784.89622,
"DNK","TEACHERSALARY","PRY15YREXP","USD","A","2017",51505.83796,
"DNK","TEACHERSALARY","PRY_START","USD","A","2017",44918.73909,
"DNK","TEACHERSALARY","PRY_TOP","USD","A","2017",51505.83796,
"FIN","TEACHERSALARY","PRY15YREXP","USD","A","2017",40991.05805,
"FIN","TEACHERSALARY","PRY_START","USD","A","2017",33408.36294,
"FIN","TEACHERSALARY","PRY_TOP","USD","A","2017",43450.60879,
"FRA","TEACHERSALARY","PRY15YREXP","USD","A","2017",35962.78019,
"FRA","TEACHERSALARY","PRY_START","USD","A","2017",29515.54333,
"FRA","TEACHERSALARY","PRY_TOP","USD","A","2017",52373.92856,
"DEU","TEACHERSALARY","PRY15YREXP","USD","A","2017",70693.44511,
"DEU","TEACHERSALARY","PRY_START","USD","A","2017",56534.69525,
"DEU","TEACHERSALARY","PRY_TOP","USD","A","2017",75001.61724,
"GRC","TEACHERSALARY","PRY15YREXP","USD","A","2017",25997.98924,
"GRC","TEACHERSALARY","PRY_START","USD","A","2017",19374.29771,
"GRC","TEACHERSALARY","PRY_TOP","USD","A","2017",37698.8586,
"HUN","TEACHERSALARY","PRY15YREXP","USD","A","2017",20629.05113,
"HUN","TEACHERSALARY","PRY_START","USD","A","2017",14226.93182,
"HUN","TEACHERSALARY","PRY_TOP","USD","A","2017",27031.17045,
"ISL","TEACHERSALARY","PRY15YREXP","USD","A","2017",39477.20988,
"ISL","TEACHERSALARY","PRY_START","USD","A","2017",35755.8952,
"ISL","TEACHERSALARY","PRY_TOP","USD","A","2017",39477.20988,
"IRL","TEACHERSALARY","PRY15YREXP","USD","A","2017",59458.85669,
"IRL","TEACHERSALARY","PRY_START","USD","A","2017",33961.85093,
"IRL","TEACHERSALARY","PRY_TOP","USD","A","2017",68712.32084,
"ITA","TEACHERSALARY","PRY15YREXP","USD","A","2017",34444.47468,
"ITA","TEACHERSALARY","PRY_START","USD","A","2017",28513.77897,
"ITA","TEACHERSALARY","PRY_TOP","USD","A","2017",41914.31038,
"JPN","TEACHERSALARY","PRY15YREXP","USD","A","2017",51593.00496,
"JPN","TEACHERSALARY","PRY_START","USD","A","2017",30631.01344,
"JPN","TEACHERSALARY","PRY_TOP","USD","A","2017",63968.60637,
"KOR","TEACHERSALARY","PRY15YREXP","USD","A","2017",53404.98168,
"KOR","TEACHERSALARY","PRY_START","USD","A","2017",30395.08709,
"KOR","TEACHERSALARY","PRY_TOP","USD","A","2017",84842.44085,
"LUX","TEACHERSALARY","PRY15YREXP","USD","A","2017",102504.8216,
"LUX","TEACHERSALARY","PRY_START","USD","A","2017",70192.27905,
"LUX","TEACHERSALARY","PRY_TOP","USD","A","2017",124035.5148,
"MEX","TEACHERSALARY","PRY15YREXP","USD","A","2017",31685.93266,
"MEX","TEACHERSALARY","PRY_START","USD","A","2017",19893.43526,
"MEX","TEACHERSALARY","PRY_TOP","USD","A","2017",39995.70834,
"NLD","TEACHERSALARY","PRY15YREXP","USD","A","2017",58035.68812,
"NLD","TEACHERSALARY","PRY_START","USD","A","2017",38922.46898,
"NLD","TEACHERSALARY","PRY_TOP","USD","A","2017",61279.48097,
"NZL","TEACHERSALARY","PRY15YREXP","USD","A","2017",46337.17926,
"NZL","TEACHERSALARY","PRY_START","USD","A","2017",30254.09216,
"NZL","TEACHERSALARY","PRY_TOP","USD","A","2017",46337.17926,
"NOR","TEACHERSALARY","PRY15YREXP","USD","A","2017",47686.89522,
"NOR","TEACHERSALARY","PRY_START","USD","A","2017",39585.16876,
"NOR","TEACHERSALARY","PRY_TOP","USD","A","2017",51209.38498,
"POL","TEACHERSALARY","PRY15YREXP","USD","A","2017",25552.61752,
"POL","TEACHERSALARY","PRY_START","USD","A","2017",15599.81855,
"POL","TEACHERSALARY","PRY_TOP","USD","A","2017",26636.23335,
