"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2000",882.35232072,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2005",888.3,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2006",884.33203621,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2007",876.93201525,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2008",872.55573246,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2009",874.37937257,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2010",868.15076318,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2011",872.54543042,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2012",871.28203606,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2013",879.20710486,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2014",871.9631958,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2015",865.76543608,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2016",862.45696602,
"AUS","TEACHINGHR","PRY","HR_YEAR","A","2017",865.26860492,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2000",803.42575461,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",810.16,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",817.04836013,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",813.15904926,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",810.43789621,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",797.05471809,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",803.25932951,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",802.16714211,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",801.32556376,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2013",812.32369594,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2014",804.01312256,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2015",804.48306569,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2016",795.84434356,
"AUS","TEACHINGHR","UPPSRY","HR_YEAR","A","2017",797.28161882,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2000",810.54625902,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",810.16,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",818.47443839,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",814.54895505,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",811.81839395,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",812.29371554,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",819.16514988,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",810.80545552,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",808.5890063,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2013",821.30037769,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2014",811.62817383,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2015",805.97951001,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2016",795.38401185,
"AUS","TEACHINGHR","LOWSRY","HR_YEAR","A","2017",797.28161882,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2005",774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2006",774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2007",774,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2008",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2009",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2010",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2011",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2012",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2013",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2014",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2015",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2016",779.4,
"AUT","TEACHINGHR","PRY","HR_YEAR","A","2017",779.4,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2005",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2006",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2007",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2008",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2009",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2013",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2014",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2015",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2016",588.6,
"AUT","TEACHINGHR","UPPSRY","HR_YEAR","A","2017",588.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2005",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2006",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2007",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2008",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2009",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2010",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2011",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2012",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2013",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2014",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2015",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2016",606.6,
"AUT","TEACHINGHR","LOWSRY","HR_YEAR","A","2017",606.6,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2010",799.31287903,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2011",799.26561465,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2012",799,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2013",795.85984021,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2014",796,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2015",797.04657721,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2016",797.77130458,
"CAN","TEACHINGHR","PRY","HR_YEAR","A","2017",797.77130458,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2010",744.16762924,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2011",747.00307808,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2012",747,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2013",744.63642284,
"CAN","TEACHINGHR","UPPSRY","HR_YEAR","A","2014",744,
