"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUT","TEACHINGSTAFF","PRY","NBR","A","2005",,"M"
"AUT","TEACHINGSTAFF","PRY","NBR","A","2010",29440.509,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2011",29745.343,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2012",30000.364,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2013",30565.955,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2014",30533.424,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2015",30972.434,
"AUT","TEACHINGSTAFF","PRY","NBR","A","2016",31933.225,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2005",,"M"
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2010",31350.866,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2011",31629.586,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2012",31116.833,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2013",31779.954,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2014",30784.482,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2015",29935.638,
"AUT","TEACHINGSTAFF","UPPSRY","NBR","A","2016",29771.932,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2005",,"M"
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2010",42136.463,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2011",42075.372,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2012",41602.977,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2013",41255.91,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2014",41779.166,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2015",42226.643,
"AUT","TEACHINGSTAFF","LOWSRY","NBR","A","2016",43188.627,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2005",25774,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2010",28585,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2011",28527,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2012",28859,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2013",29895,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2014",28602,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2015",28623,
"BEL","TEACHINGSTAFF","TRY","NBR","A","2016",30496,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2005",43340,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2010",45349,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2011",44330,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2012",44621,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2013",46920,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2014",47390,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2015",47829,
"BEL","TEACHINGSTAFF","LOWSRY","NBR","A","2016",48276,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2005",30952,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2010",24769.3,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2011",24880.2,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2012",25161.1,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2013",25979.1,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2014",27338.5,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2015",28192.1,
"CZE","TEACHINGSTAFF","PRY","NBR","A","2016",29107.1,
