"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","GRADRATETRY","TRY","PC","A","2005",52.227,
"AUS","GRADRATETRY","TRY","PC","A","2010",62.222,
"AUS","GRADRATETRY","TRY","PC","A","2011",66.715,
"AUS","GRADRATETRY","TRY","PC","A","2012",68.356,
"AUS","GRADRATETRY","TRY","PC","A","2013",74.462,
"AUS","GRADRATETRY","TRY","PC","A","2014",75.208,
"AUS","GRADRATETRY","TRY","PC","A","2015",76.107,
"AUS","GRADRATETRY","TRY","PC","A","2016",76.587,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2005",47.192,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2010",54.71,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2011",57.775,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2012",58.664,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2013",63.447,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2014",64.178,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2015",65.447,
"AUS","GRADRATETRY","TRY_MEN","PC","A","2016",66.409,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2005",57.431,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2010",70.092,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2011",75.992,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2012",78.41,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2013",85.868,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2014",86.727,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2015",87.31,
"AUS","GRADRATETRY","TRY_WOMEN","PC","A","2016",87.139,
"AUT","GRADRATETRY","TRY","PC","A","2005",,"M"
"AUT","GRADRATETRY","TRY","PC","A","2010",46.194,
"AUT","GRADRATETRY","TRY","PC","A","2011",47.417,
"AUT","GRADRATETRY","TRY","PC","A","2012",50.717,
"AUT","GRADRATETRY","TRY","PC","A","2013",52.659,
"AUT","GRADRATETRY","TRY","PC","A","2014",50.379,
"AUT","GRADRATETRY","TRY","PC","A","2015",49.088,
"AUT","GRADRATETRY","TRY","PC","A","2016",47.157,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2005",,"M"
"AUT","GRADRATETRY","TRY_MEN","PC","A","2010",41.729,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2011",42.152,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2012",43.927,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2013",44.705,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2014",42.712,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2015",41.696,
"AUT","GRADRATETRY","TRY_MEN","PC","A","2016",40.192,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2005",,"M"
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2010",50.884,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2011",52.964,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2012",57.855,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2013",60.98,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2014",58.408,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2015",56.863,
"AUT","GRADRATETRY","TRY_WOMEN","PC","A","2016",54.606,
"BEL","GRADRATETRY","TRY","PC","A","2005",,"M"
